"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"Prefeitura Municipal de Porto Alegre";"DARM. 101125";"2153/1";"1";"0";"10/11/2025";"35,51";"183";"817,11";"0,00";"0,00";"817,11";
"Prefeitura Municipal de Porto Alegre";"DARM. 120126";"2791/1";"1";"0";"12/01/2026";"33,52";"120";"1.589,52";"0,00";"0,00";"1.589,52";
"Prefeitura Municipal de Porto Alegre";"DARM. 100226";"3686/1";"1";"0";"10/02/2026";"31,82";"91";"1.350,30";"0,00";"0,00";"1.350,30";
"Prefeitura Municipal de Porto Alegre";"DARM. 100326";"3903/1";"1";"0";"10/03/2026";"26,37";"63";"1.195,70";"0,00";"0,00";"1.195,70";
"                          Obs: ISSQN";
"Prefeitura Municipal de Porto Alegre";"DARM. 100426";"4522/1";"1";"0";"10/04/2026";"28,64";"32";"1.001,07";"0,00";"0,00";"1.001,07";
"                          Obs: ISSQN";
"Prj Industria De Madeira Ltda";"NFM. 2507";"893/5";"5";"0";"21/11/2025";"100,00";"172";"99,74";"0,00";"0,00";"99,74";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2513";"965/3";"3";"0";"26/11/2025";"100,00";"167";"400,00";"0,00";"0,00";"400,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2572";"1567/2";"4";"0";"30/11/2025";"100,00";"163";"1.851,88";"0,00";"0,00";"1.851,88";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2525";"1142/3";"4";"0";"03/12/2025";"100,00";"160";"1.281,25";"0,00";"0,00";"1.281,25";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2582";"1675/2";"4";"0";"07/12/2025";"100,00";"156";"2.175,00";"0,00";"0,00";"2.175,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2546";"1309/3";"3";"0";"16/12/2025";"100,00";"147";"333,34";"0,00";"0,00";"333,34";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2507";"893/4";"5";"0";"21/12/2025";"100,00";"142";"1.080,00";"0,00";"0,00";"1.080,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2572";"1567/3";"4";"0";"30/12/2025";"100,00";"133";"1.851,88";"0,00";"0,00";"1.851,88";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2525";"1142/4";"4";"0";"03/01/2026";"100,00";"129";"1.281,25";"0,00";"0,00";"1.281,25";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2582";"1675/3";"4";"0";"07/01/2026";"100,00";"125";"2.175,00";"0,00";"0,00";"2.175,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2710";"2643/1";"3";"0";"16/01/2026";"100,00";"116";"1.583,34";"0,00";"0,00";"1.583,34";
"Prj Industria De Madeira Ltda";"NFM. 2572";"1567/4";"4";"0";"30/01/2026";"100,00";"102";"1.851,86";"0,00";"0,00";"1.851,86";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2582";"1675/4";"4";"0";"07/02/2026";"100,00";"94";"2.175,00";"0,00";"0,00";"2.175,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2725";"2941/1";"1";"0";"14/02/2026";"100,00";"87";"1.850,00";"0,00";"0,00";"1.850,00";
"Prj Industria De Madeira Ltda";"NFM. 2710";"2643/2";"3";"0";"16/02/2026";"100,00";"85";"1.583,33";"0,00";"0,00";"1.583,33";
"Prj Industria De Madeira Ltda";"NFM. 2759";"3114/1";"1";"0";"28/02/2026";"100,00";"73";"3.000,00";"0,00";"0,00";"3.000,00";
"Prj Industria De Madeira Ltda";"NFM. 2710";"2643/3";"3";"0";"16/03/2026";"100,00";"57";"1.583,33";"0,00";"0,00";"1.583,33";
"Rcd Capao Da Canoa Distribuidora De Materiais Para Construção Ltda";"NFM. 1362";"4322/1";"1";"0";"29/04/2026";"100,00";"13";"2.419,45";"0,00";"0,00";"2.419,45";
"Rm Locações De Equipamentos Ltda";"FAT. 31072025";"536/1";"1";"0";"30/05/2026";"100,00";"0";"20.000,00";"0,00";"0,00";"20.000,00";
"                          Obs: PREVISÃO DE LOCAÇÕES";
"Rm Locações De Equipamentos Ltda";"FAT. 1013";"2316/2";"4";"0";"15/06/2026";"100,00";"0";"5.306,07";"0,00";"0,00";"5.306,07";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 1013";"2316/3";"4";"0";"15/07/2026";"100,00";"0";"5.306,07";"0,00";"0,00";"5.306,07";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 1013";"2316/4";"4";"0";"15/08/2026";"100,00";"0";"1.175,82";"0,00";"0,00";"1.175,82";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 1016";"2317/1";"1";"0";"15/08/2026";"100,00";"0";"748,40";"0,00";"0,00";"748,40";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 77270";"2776/1";"1";"0";"15/08/2026";"10,04";"0";"103,00";"0,00";"0,00";"103,00";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 77272";"2777/1";"1";"0";"15/08/2026";"100,00";"0";"414,29";"0,00";"0,00";"414,29";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 77268";"2778/1";"4";"0";"15/08/2026";"100,00";"0";"505,77";"0,00";"0,00";"505,77";
"Rm Locações De Equipamentos Ltda";"FAT. 77268";"2778/2";"4";"0";"15/09/2026";"100,00";"0";"5.306,07";"0,00";"0,00";"5.306,07";
"Rm Locações De Equipamentos Ltda";"FAT. 77268";"2778/3";"4";"0";"15/10/2026";"100,00";"0";"4.633,71";"0,00";"0,00";"4.633,71";
"Rm Locações De Equipamentos Ltda";"FAT. 69228";"1098/3";"4";"0";"15/12/2026";"100,00";"0";"1.502,59";"0,00";"0,00";"1.502,59";
"Rm Locações De Equipamentos Ltda";"FAT. 77268";"2778/4";"4";"0";"15/12/2026";"100,00";"0";"1.264,06";"0,00";"0,00";"1.264,06";
"Sulmak Locações De Equipamentos Ltda";"FAT. 15447";"4809/1";"1";"0";"30/03/2026";"100,00";"43";"6.775,33";"0,00";"0,00";"6.775,33";
